stop_id,stop_name
S0278,石川町中央・藤岡眼科
S0279,石川町会館前
S0280,石川町第一公園
S0281,石田文具・七重浜２
S0282,神山通
S0283,神山通・エンゼル小児
S0284,神山２丁目
S0285,称名寺通
S0286,稲荷神社前
S0287,空港団地
S0288,空港団地入口
S0289,競輪場通
S0290,競馬場前
S0291,第３・新東山墓園
S0292,総合福祉センター裏
S0293,美原台
S0294,美原台団地
S0295,美原台団地入口
S0296,美原台東
S0297,美原３丁目
S0298,美原３丁目・金物
S0299,臨港橋
S0300,臨空工業団地入口
S0301,臨空工業団地通
S0302,自衛隊前
S0303,船見町・外国人墓地
S0304,船見町・外国人墓地前
S0305,花びしホテル前
S0306,花園団地通
S0307,花園町
S0308,花園町・十字街
S0309,若松町
S0310,蔦屋書店前
S0311,藤岡眼科前
S0312,西堀病院前
S0313,西旭岡一丁目
S0314,西旭岡二丁目
S0315,西旭岡１丁目
S0316,西旭岡２丁目
S0317,西旭岡３丁目
S0318,西旭岡４区
S0319,西桔梗
S0320,西高校前
S0321,見晴通
S0322,見晴通入口
S0323,警察署前
S0324,谷地頭
S0325,谷地頭温泉
S0326,谷好住民センター
S0327,谷川小学校前
S0328,赤川
S0329,赤川1丁目
S0330,赤川1丁目・ﾗｲﾌﾌﾟﾚｽﾃ
S0331,赤川三区
S0332,赤川中学校前
S0333,赤川入口
S0334,赤川四区
S0335,赤川小学校前
S0336,赤川貯水池
S0337,赤川通
S0338,赤川３区
S0339,赤川４区
S0340,農住団地中央通
S0341,農住団地北口
S0342,追分グリーンヴィラ
S0343,追分福祉センター前
S0344,道南四季の杜公園
S0345,金融公庫前
S0346,銀座通
S0347,鍛治さくら認定こども
S0348,鍛治さくら認定こども園
S0349,鍛治団地
S0350,鍛治２丁目
S0351,開発建設部前
S0352,附属中学校前
S0353,陣川団地前
S0354,陣川１丁目
S0355,電話交換局前
S0356,青柳町
S0357,駒場車庫
S0358,駒場車庫前
S0359,高台坂下
S0360,高竜寺前
S0361,高野寺
S0362,鱒川入口
S0363,鳴川
S0364,ＪＲ車両所前
S0365,ＮＣＶ函館センター
S0366,ＮＴＴ前
S0367,ﾎｰﾏｯｸｽｰﾊﾟｰﾃﾞﾎﾟ石川
S0368,アリーナ前
S0369,五稜郭公園前
S0370,函館どつく前
S0371,大町
S0372,末広町
S0373,湯の川
S0374,魚市場通
