stop_id,stop_name,route_count,total_daily_trips,p_morning,p_daytime,p_night,latitude,longitude,elevation,osm_node_id,osm_node_dist
S0059,亀田外郭通,2,46,0.7769,0.5105,0.3935,41.808979,140.726761,3.5,1921745254,24.8
S0060,亀田小学校前,6,192,0.9972,0.9664,0.8422,41.808979,140.726761,3.5,1921745254,24.8
S0061,亀田支所前,37,1329,0.9994,0.9994,0.9994,41.808979,140.726761,3.5,1921745254,24.8
S0062,亀田町,12,446,0.9994,0.9996,0.995,41.795479,140.73378,3.7,5685411739,29.4
S0063,五稜郭,36,1253,0.9994,0.9994,0.9994,41.796043,140.754373,15.0,4792248650,39.3
S0064,五稜郭タワー,2,98,0.9436,0.8134,0.6177,41.794548,140.753809,12.6,5677728091,14.9
S0065,五稜郭・大村美容,2,49,0.4647,0.5602,0.48,41.796043,140.754379,15.0,4792248650,39.4
S0066,五稜郭公園入口,28,929,0.9994,0.9994,0.9994,41.796043,140.754379,15.0,4792248650,39.4
S0067,五稜郭公園裏,11,387,0.9994,0.9987,0.9824,41.796043,140.754379,15.0,4792248650,39.4
S0068,五稜郭病院前,3,113,0.9734,0.8134,0.7398,41.796043,140.754379,15.0,4792248650,39.4
S0069,五稜郭駅前,9,343,0.9997,0.997,0.9865,41.801025,140.734675,5.0,12474923173,25.6
S0070,人見町,1,31,0.3935,0.3935,0.345,41.781761,140.759598,11.3,666221629,17.0
S0071,低区貯水池,8,255,0.9987,0.9897,0.9397,41.895721,140.694412,78.0,1620297125,5306.7
S0072,元町（市内）,6,206,0.9964,0.9729,0.884,41.763149,140.712158,42.8,12997765940,7.5
S0073,元町／西高校前,1,24,0.3935,0.2749,0.2926,41.763149,140.712158,42.8,12997765940,7.5
S0074,児童公園前,2,97,0.9436,0.7923,0.6594,41.895721,140.694412,78.0,1620297125,5306.7
S0075,入舟町,5,156,0.9889,0.9361,0.8087,41.76738,140.695312,2.5,501597975,47.4
S0076,公会堂前,5,156,0.9889,0.9361,0.8087,41.820747,140.635788,4.1,505082286,5513.4
S0077,共愛会病院前,3,79,0.9436,0.7135,0.5185,41.78543258,140.74040013,4.3,5630346953,49.0
S0078,函館アリーナ,7,310,0.9994,0.9948,0.9786,41.752647,140.701813,207.0,757022873,264.6
S0079,函館バスセンター,2,44,0.7769,0.5105,0.3697,41.752647,140.701813,207.0,757022873,264.6
S0080,函館フットボール,1,24,0.5276,0.2749,0.2061,41.802731,140.788444,42.8,1923677993,53.8
S0081,函館フットボールパーク前,3,98,0.9658,0.7847,0.6177,41.752647,140.701813,207.0,757022873,264.6
S0082,函館公園,1,12,0.2212,0.1016,0.1426,41.756418,140.717803,17.3,6749625783,15.6
S0083,函館公園通,1,12,0.2212,0.1016,0.1426,41.756418,140.717803,17.3,6749625783,15.6
S0084,函館国際ホテル,1,48,0.5831,0.5105,0.48,41.752647,140.701813,207.0,757022873,264.6
S0085,函館地方気象台,16,537,0.9994,0.9994,0.9965,41.816894,140.753346,34.6,12509792469,36.9
S0086,函館大学前,7,291,0.9998,0.9917,0.9648,41.752647,140.701813,207.0,757022873,264.6
S0087,函館新幹線車両所,1,23,0.4647,0.3486,0.1426,41.752647,140.701813,207.0,757022873,264.6
S0088,函館朝市前,1,48,0.5831,0.5105,0.48,41.752647,140.701813,207.0,757022873,264.6
S0089,函館牛乳あいす１１８,1,53,0.8031,0.6049,0.3697,41.752647,140.701813,207.0,757022873,264.6
S0090,函館盲学校前,6,192,0.9972,0.9664,0.8422,41.752647,140.701813,207.0,757022873,264.6
S0091,函館石川郵便局,8,322,0.9994,0.9955,0.9483,41.833991,140.745689,45.5,5808553390,29.1
