route_id,direction,stop_sequence,stop_name
30A,0,43,町民ｾﾝﾀｰ・ｺﾓﾝ前
30A,0,44,見晴通入口
30A,0,45,武佐川橋
30A,0,46,湯出川２号橋
30A,0,47,上大中山
30A,0,48,桜岡
30A,0,49,鳴川
30A,0,50,七飯
30A,0,51,七飯役場通
30A,0,52,七飯役場前
30A,0,53,アカシヤ団地
30A,0,54,ななえ新病院
30A,0,55,七飯高校前
30A,0,56,七飯駅入口
30A,0,57,七飯中通
30A,0,58,七飯本町２丁目
30A,0,59,七飯桜町
30A,0,60,函館新幹線車両所
30A,0,61,新函館北斗駅
41,0,1,昭和営業所前
41,0,2,昭和２丁目
41,0,3,昭和小学校前
41,0,4,昭和高台
41,0,5,桐花通中央
41,0,6,清尚学院高等学校前
41,0,7,高台坂下
41,0,8,五稜郭駅前
41,0,9,ＪＲ車両所前
41,0,10,大野新道入口
41,0,11,亀田町
41,0,12,ガス会社前
41,0,13,宮前町
41,0,14,新世橋
41,0,15,テーオーデパート前
41,0,16,五稜郭
41,0,17,杉並町
41,0,18,柏木町
41,0,19,深堀町
41,0,20,競馬場前
41,0,21,駒場車庫前
41,0,22,函館アリーナ
41,0,23,湯川温泉電停前
41,0,24,湯倉神社前
41,0,25,湯川中学校前
41,0,26,学園前
41,0,27,日吉町１丁目
41,0,28,花園町
41,0,29,団地通
41,0,30,ポリテクセンター函館
41A,0,1,昭和営業所前
41A,0,2,昭和２丁目
41A,0,3,昭和小学校前
41A,0,4,昭和高台
41A,0,5,桐花通中央
41A,0,6,清尚学院高等学校前
41A,0,7,高台坂下
41A,0,8,五稜郭駅前
41A,0,9,ＪＲ車両所前
41A,0,10,大野新道入口
41A,0,11,亀田町
41A,0,12,ガス会社前
41A,0,13,宮前町
41A,0,14,新世橋
41A,0,15,テーオーデパート前
41A,0,16,五稜郭
41A,0,17,杉並町
41A,0,18,ＮＴＴ前
41A,0,19,市立函館高校前
41A,0,20,大妻高校前
41A,0,21,工業高校前
41A,0,22,深堀町
41A,0,23,競馬場前
41A,0,24,駒場車庫前
41A,0,25,函館アリーナ
41A,0,26,湯川温泉電停前
41A,0,27,湯倉神社前
41A,0,28,湯川中学校前
41A,0,29,学園前
41A,0,30,日吉町１丁目
41A,0,31,花園町
41A,0,32,花園町
41A,0,33,団地通
41A,0,34,ポリテクセンター函館
41C,0,1,五稜郭駅前
41C,0,2,ＪＲ車両所前
41C,0,3,大野新道入口
41C,0,4,亀田町
41C,0,5,ガス会社前
41C,0,6,宮前町
41C,0,7,新世橋
41C,0,8,テーオーデパート前
41C,0,9,五稜郭
41C,0,10,五稜郭病院前
41C,0,11,市立函館高校前
41C,0,12,大妻高校前
41C,0,13,工業高校前
42,0,1,昭和ターミナル
42,0,2,新都市病院前
42,0,3,昭和
42,0,4,南昭和
42,0,5,中央昭和
42,0,6,機関区前
42,0,7,函館記念病院
42,0,8,五稜郭駅前
42,0,9,ＪＲ車両所前
42,0,10,大野新道入口
42,0,11,亀田町
42,0,12,ガス会社前
42,0,13,宮前町
42,0,14,新世橋
42,0,15,テーオーデパート前
42,0,16,五稜郭
42,0,17,杉並町
42,0,18,柏木町
42,0,19,深堀町
42,0,20,競馬場前
42,0,21,駒場車庫前
42,0,22,函館アリーナ
42,0,23,湯川温泉電停前
42,0,24,湯倉神社前
42,0,25,湯川中学校前
42,0,26,学園前
42,0,27,日吉町１丁目
42,0,28,花園町
42,0,29,団地通
42,0,30,ポリテクセンター函館
43,0,1,船見町・外国人墓地前
43,0,2,高竜寺前
43,0,3,称名寺通
43,0,4,入舟町
43,0,5,幸坂
43,0,6,弥生町
43,0,7,公会堂前
43,0,8,元町（市内）
43,0,9,十字街
43,0,10,銀座通
43,0,11,金融公庫前
43,0,12,市役所前
43,0,13,棒二森屋前
43,0,14,函館駅前
43,0,15,若松町
43,0,16,昭和通
43,0,17,大縄町
43,0,18,中の橋
43,0,19,松川町
43,0,20,宮前町
43,0,21,ガス会社前
43,0,22,亀田町
43,0,23,大野新道入口
43,0,24,ＪＲ車両所前
43,0,25,五稜郭駅前
43,0,26,高台坂下
43,0,27,清尚学院・高台通り
43,0,28,桐花通中央
43,0,29,昭和高台
43,0,30,昭和小学校前
43,0,31,昭和２丁目
43,0,32,昭和営業所前
43A(ロープウェイ前経由),0,1,昭和営業所前
43A(ロープウェイ前経由),0,2,昭和２丁目
43A(ロープウェイ前経由),0,3,昭和小学校前
