direction,stop_sequence,stop_name
0,1,昭和ターミナル
0,2,新都市病院前
0,3,南石川
0,4,函館青年寮前
0,5,石川保育園前
0,6,石川町中央
0,7,石川町会館前
0,8,函館石川郵便局
0,9,支援学校入口
0,10,函館高等支援学校
0,11,石川町
0,12,亀田中野
0,13,美原台
0,14,赤川中学校前
0,15,園芸センター
0,16,赤川入口
0,17,赤川1丁目
0,18,赤川通
0,19,函館地方気象台
0,20,亀田支所前
0,21,亀田支所前
0,22,中央小学校前
0,23,神山通・エンゼル小児
0,24,鍛治２丁目
0,25,鍛治団地
0,26,西堀病院前
0,27,鍛治さくら認定こども
0,28,五稜郭公園裏
0,29,中央図書館前
0,30,五稜郭公園入口
0,31,五稜郭
0,32,杉並町
0,33,柏木町
0,34,深堀町
0,35,競馬場前
0,36,駒場車庫前
0,37,函館アリーナ
0,38,湯川温泉電停前
0,39,湯倉神社前
0,40,湯川小学校前
0,41,戸倉町
0,42,戸倉中学校下
0,43,湯川団地北口
0,44,湯川団地中央
0,45,湯川団地北口
0,46,上湯川小学校下
0,47,トラピスチヌ入口
0,48,西旭岡１丁目
0,49,西旭岡４区
0,50,旭岡小学校前
0,51,旭岡幼稚園前
0,52,西旭岡２丁目
0,53,旭岡団地
0,54,西旭岡３丁目
0,55,児童公園前
0,56,旭岡中学校前
