direction,stop_sequence,stop_name
0,1,函館空港
0,2,空港団地入口
0,3,湯川団地中央
0,4,湯川団地北口
0,5,戸倉中学校下
0,6,戸倉町
0,7,湯川小学校前
0,8,湯倉神社前
0,9,湯川温泉電停前
0,10,函館アリーナ
0,11,駒場車庫前
0,12,競馬場前
0,13,深堀町
0,14,柏木町
0,15,杉並町
0,16,五稜郭
0,17,五稜郭公園入口
0,18,警察署前
0,19,田家入口
0,20,医師会病院前
0,21,富岡
0,22,亀田支所前
0,23,中央小学校前
0,24,神山通
0,25,東山公園
0,26,東山団地
0,27,白百合学園前
0,28,東本通
0,29,花園団地通
0,30,花園町
0,31,花園町・十字街
0,32,日吉町１丁目
0,33,学園前
0,34,湯川中学校前
0,35,湯倉神社前
0,36,湯川小学校前
0,37,戸倉町
0,38,戸倉中学校下
0,39,湯川団地北口
0,40,湯川団地中央
0,41,空港団地入口
0,42,函館空港
