direction,stop_sequence,stop_name
0,1,赤川
0,2,下赤川
0,3,赤川四区
0,4,赤川貯水池
0,5,赤川三区
0,6,赤川小学校前
0,7,浄水場下
0,8,低区貯水池
0,9,赤川入口
0,10,赤川1丁目
0,11,赤川通
0,12,函館地方気象台
0,13,亀田支所前
0,14,亀田支所前
0,15,富岡
0,16,医師会病院前
0,17,田家入口
0,18,警察署前
0,19,五稜郭公園入口
0,20,五稜郭
0,21,中央病院前
0,22,千代台
0,23,堀川町
0,24,昭和橋
0,25,千歳町
0,26,新川町
0,27,松風町
0,28,棒二森屋前
0,29,函館駅前
0,30,十字街
0,31,西高校前
