direction,stop_sequence,stop_name
0,1,昭和ターミナル
0,2,新都市病院正門前
0,3,石川学園台
0,4,北美原クリニック前
0,5,石川町中央
0,6,石川町会館前
0,7,函館石川郵便局
0,8,支援学校入口
0,9,ﾎｰﾏｯｸｽｰﾊﾟｰﾃﾞﾎﾟ石川
0,10,中の沢
0,11,三育小学校前
0,12,めぐみ幼稚園前
0,13,桔梗福祉交流センター
0,14,桔梗
0,15,上桔梗
0,16,南桔梗
0,17,桔梗小学校前
0,18,昭和
0,19,新都市病院前
0,20,昭和ターミナル
0,21,亀田中学校前
0,22,亀田支所前
0,23,中央小学校前
0,24,神山通
0,25,東山公園
0,26,東山団地
0,27,白百合学園前
0,28,東本通
0,29,花園団地通
0,30,花園町
0,31,日吉町１丁目
0,32,学園前
0,33,湯川中学校前
0,34,湯倉神社前
0,35,電話交換局前
0,36,函館高専前
0,37,戸倉ケ丘団地入口
0,38,函館大学前
