direction,stop_sequence,stop_name
0,1,亀田支所前
0,2,函館地方気象台
0,3,赤川通
0,4,赤川1丁目・ﾗｲﾌﾌﾟﾚｽﾃ
0,5,赤川入口
0,6,低区貯水池
0,7,浄水場下
0,8,赤川小学校前
0,9,赤川３区
0,10,赤川貯水池
0,11,はこだて未来大学
0,12,赤川４区
0,13,下赤川
0,14,赤川
0,15,道南四季の杜公園
