direction,stop_sequence,stop_name
0,1,鱒川入口
0,2,旭岡公園前
0,3,旭岡団地
0,4,旭岡団地
0,5,西旭岡２丁目
0,6,旭岡幼稚園前
0,7,旭岡小学校前
0,8,西旭岡４区
0,9,西旭岡１丁目
0,10,トラピスチヌ入口
0,11,上湯川小学校下
0,12,湯川団地北口
0,13,湯川団地中央
0,14,湯川団地中央
0,15,湯川団地北口
0,16,戸倉中学校下
0,17,戸倉町
0,18,湯川小学校前
0,19,湯倉神社前
0,20,湯川中学校前
0,21,学園前
0,22,日吉町１丁目
0,23,花園町・十字街
0,24,花園町
0,25,花園団地通
0,26,東本通
0,27,白百合学園前
0,28,東山団地
0,29,東山公園
0,30,神山通
0,31,中央小学校前
0,32,亀田支所前
0,33,亀田中学校前
0,34,昭和ターミナル
0,35,新都市病院正門前
0,36,石川学園台
0,37,北美原クリニック前
0,38,石川町中央
0,39,石川町会館前
0,40,函館石川郵便局
0,41,支援学校入口
0,42,函館高等支援学校
