node_id,longitude,latitude,elevation,degree,store_density_500m,supermarket_density_500m,stop_density_500m,cluster_id
12213752381,140.7333175,41.775152,2.702971941823471,6,51,2,6,4
12213752388,140.7330976,41.7752874,2.609269959082628,2,52,2,6,4
12213752395,140.732241,41.7743982,2.4435959527135087,2,58,2,6,4
12213752398,140.7361271,41.7763785,3.047018233267419,6,14,3,2,2
12213752399,140.7364564,41.776663,3.07851533265323,2,14,3,2,3
12213757302,140.7356473,41.7760123,2.9942607392722693,2,14,3,2,3
12213757315,140.7365438,41.7716848,4.282719271765238,6,12,1,5,0
12213757316,140.7374124,41.7723821,4.324659740930024,6,8,1,5,0
12213757353,140.7363648,41.7717995,4.296930405776898,2,13,1,6,7
12213757355,140.7367998,41.7715429,4.264353168955298,2,11,1,5,7
12213757356,140.7372368,41.7725104,4.339996492372199,2,8,1,5,7
12213757359,140.7375711,41.7722459,4.309008198199026,2,8,1,5,7
12214345856,140.7138557,41.7508335,3.6,6,0,0,3,0
12214345892,140.7154813,41.750833,3.6,6,0,0,3,0
12214345900,140.7157473,41.7530272,4.0815863142254365,6,0,0,6,1
12214414201,140.7155597,41.7530629,6.000631762081478,6,0,0,6,1
12214414202,140.715819,41.7531339,4.437888759663778,6,0,0,6,1
12214414203,140.7154124,41.7530927,7.523449329882245,2,0,0,6,1
12214414204,140.7158975,41.7520494,3.6311431910235417,2,0,0,3,1
12214414209,140.7154683,41.7532046,8.061237971229852,2,0,0,6,1
12214414225,140.7145783,41.7539366,19.9293564100365,2,0,0,6,1
12214414239,140.7105888,41.7513326,20.8,6,0,0,2,0
12215322660,140.7171165,41.764736,7.188207342955823,6,0,0,5,1
12215322662,140.7167386,41.7642013,14.539387529873265,6,0,0,5,1
12215322670,140.7178149,41.7646277,5.891279195672407,2,0,0,6,1
12215322674,140.7153743,41.7649143,11.453001149389635,6,0,0,5,1
12215322678,140.7145333,41.7665863,2.484785058690291,2,0,0,5,1
12215322695,140.7098323,41.7683031,7.860844405438431,2,2,0,4,1
12215349004,140.7089813,41.7694742,6.6965248645181426,2,4,1,4,7
12215349005,140.709839,41.768413,7.344582266299718,2,2,0,4,1
12215349014,140.7047058,41.7727794,2.651660585321538,2,3,1,3,7
12215349024,140.7025369,41.7727849,2.1095498014862484,2,3,1,1,0
12215349026,140.7040456,41.7739521,2.0285928371442923,6,3,1,1,3
12215349031,140.7052038,41.7726883,2.6927567560348535,6,4,1,3,0
12215349032,140.7057321,41.7731454,2.7168692002692287,8,4,1,3,3
12215716673,140.7085482,41.7668605,29.64636139025363,6,1,0,6,1
12215716675,140.7094787,41.7677125,12.128516512860156,6,2,0,6,1
12215716676,140.7100535,41.7661508,27.095446948691215,2,1,0,8,1
12215716677,140.7101906,41.7662747,24.660999220325643,2,1,0,8,1
12215716688,140.709362,41.767822,12.194231129201404,6,2,0,6,1
12215716689,140.710049,41.7671508,14.200848878521828,6,1,0,8,1
12215716690,140.7102726,41.7669306,15.437689205097405,6,1,0,8,1
12215716691,140.7091057,41.7692396,7.146411171788459,6,4,1,4,0
12215716695,140.7295507,41.7777339,1.4438859707973015,6,13,1,2,0
12215716696,140.7325982,41.7789332,2.059333422892635,6,13,1,1,3
12215716697,140.7311655,41.7782955,1.907945853580612,6,13,2,2,3
12215716698,140.7321564,41.7782079,2.044129804583546,6,13,2,1,3
12215716699,140.7317533,41.7776356,2.0556857491934686,2,14,2,2,0
12215779903,140.731048,41.7777584,1.98684751416116,6,16,2,2,3
12215779904,140.7304408,41.7778001,1.7654798256112452,6,15,1,2,3
12215779907,140.7304792,41.7780783,1.7699720597757331,6,14,2,2,3
12215779908,140.7310882,41.778046,1.943022008598707,6,14,2,2,3
12215779913,140.730511,41.7783242,1.7731635318606584,2,12,2,2,0
12215779914,140.7313448,41.7768856,2.1255460893760434,6,25,2,2,3
12215779916,140.7322818,41.7784315,2.04690189037374,2,14,2,1,0
12215779918,140.7316468,41.7766972,2.2003939020869137,6,41,2,2,3
12215779921,140.7327929,41.7760934,2.3777766051499736,6,44,2,5,3
12215779922,140.7330933,41.7764465,2.363546049571611,6,22,3,5,2
12215779923,140.7324905,41.7780614,2.116116131065524,6,14,2,1,2
12215779924,140.7324296,41.7779522,2.1148229332267143,6,14,2,1,2
12215779925,140.7323308,41.7777838,2.111962623882872,6,14,2,2,2
12215779926,140.7322059,41.7775693,2.108487161836542,6,14,2,2,2
12215779927,140.7326154,41.7782779,2.119417521516469,2,14,2,1,0
12215779932,140.7316854,41.776203,2.272726294920944,8,47,2,4,3
12215779936,140.7333109,41.7767103,2.3791662604995207,6,16,3,3,2
12215779937,140.7335101,41.7769539,2.393282293627726,6,17,3,2,2
12215779938,140.7336612,41.7771373,2.4041098016519324,6,15,3,2,2
